,bathrooms,bedrooms,beds,room_type,accommodates,bed_type,guests_included,minimum_nights,maximum_nights,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,host_has_profile_pic,host_identity_verified,price,price_per_person,accom_per_bed,baths_per_bed,extra_guest_ratio,price_surge_percent,price_std_percent,cleaning_fee_percent,guest_fee_percent,property_type_Apartment,property_type_House,property_type_Other,neighborhood_Ballard,neighborhood_Beacon Hill,neighborhood_Capitol Hill,neighborhood_Cascade,neighborhood_Central Area,neighborhood_Downtown,neighborhood_Other neighborhoods,neighborhood_Queen Anne,neighborhood_Rainier Valley,neighborhood_University District,neighborhood_West Seattle
35,1.0,1.0,2.0,2,4,1,2,2,365,1,0,0,1,1,125.0,31.25,2.0,0.5,0.5,13.597733711048154,14.87933265653699,40.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,3.0,3.0,3.0,2,8,1,6,3,1125,2,0,0,1,1,348.0,43.5,2.6666666666666665,1.0,0.75,12.561039741567125,19.835192599736093,43.103448275862064,5.747126436781609,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,1.0,1.0,1.0,1,1,0,1,1,1125,0,0,0,1,0,45.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,1.0,1.0,2.0,2,4,1,2,2,365,1,0,0,1,1,150.0,37.5,2.0,0.5,0.5,4.7483380816714105,7.53352146362075,33.33333333333333,16.666666666666664,1,0,0,0,0,0,0,0,0,0,1,0,0,0
39,1.0,0.0,1.0,2,2,1,1,3,1125,0,0,0,1,1,80.0,40.0,2.0,1.0,0.5,-1.6417910447761086,3.7136295959774204,25.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,1.0,1.0,2.0,2,4,1,2,2,1125,1,0,0,1,1,110.0,27.5,2.0,0.5,0.5,12.802382802382816,18.57297448765323,36.36363636363637,13.636363636363635,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41,1.0,1.0,2.0,2,3,1,2,3,365,2,1,1,1,1,148.0,49.333333333333336,1.5,0.5,0.6666666666666666,24.64036617262424,61.84592333458091,67.56756756756756,13.513513513513514,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,1.5,2.0,2.0,2,4,1,4,2,30,1,0,0,1,1,350.0,87.5,2.0,0.75,1.0,0.0,0.0,28.57142857142857,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,1.5,1.0,2.0,2,3,1,1,2,1125,1,0,0,1,1,150.0,50.0,1.5,0.75,0.3333333333333333,24.926253687315647,28.47688663944419,33.33333333333333,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,1.0,1.0,1.0,1,5,1,1,1,1125,0,0,0,1,1,150.0,30.0,5.0,1.0,0.2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,1.0,0.0,1.0,2,2,0,1,1,1125,0,0,0,1,1,100.0,50.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,3.0,4.0,4.0,2,10,1,1,1,1125,2,0,0,1,1,349.0,34.9,2.5,0.75,0.1,-0.4136111246013541,5.535391062000244,57.306590257879655,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,1.0,0.0,1.0,2,2,1,1,2,1125,1,0,0,1,1,110.0,55.0,2.0,1.0,0.5,0.0,0.0,45.45454545454545,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
48,1.0,1.0,2.0,2,4,1,2,2,1125,1,0,0,1,1,160.0,40.0,2.0,0.5,0.5,0.0,0.0,34.375,15.625,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,1.0,1.0,3.0,2,4,1,2,3,1125,1,0,0,1,1,130.0,32.5,1.3333333333333333,0.3333333333333333,0.5,3.2411408815903098,5.215207092756561,57.692307692307686,19.230769230769234,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,1.0,0.0,1.0,2,2,1,2,1,1125,1,0,0,1,1,99.0,49.5,2.0,1.0,1.0,2.7030872101294623,4.487655855723405,50.505050505050505,50.505050505050505,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,1.0,0.0,1.0,2,2,1,1,1,1125,0,0,0,1,1,100.0,50.0,2.0,1.0,0.5,11.206896551724132,12.653004471961896,40.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
52,1.0,1.0,1.0,2,3,0,2,2,1125,1,0,0,1,1,137.0,45.666666666666664,3.0,1.0,0.6666666666666666,2.693262026932608,4.285259160465892,14.5985401459854,14.5985401459854,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1.0,1.0,1.0,1,3,1,1,1,1125,0,0,0,1,0,20.0,6.666666666666667,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
54,1.5,1.0,1.0,2,2,1,2,4,1125,2,0,0,1,1,150.0,75.0,2.0,1.5,1.0,0.0,0.0,33.33333333333333,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
55,1.0,1.0,1.0,2,2,1,2,2,1125,1,0,0,1,1,145.0,72.5,2.0,1.0,1.0,-4.206688196687159,8.98139498870845,20.689655172413794,6.896551724137931,1,0,0,0,0,0,0,0,0,0,1,0,0,0
56,1.0,1.0,1.0,1,2,0,1,1,1125,0,0,0,1,1,80.0,40.0,2.0,1.0,0.5,-1.6483516483516425,5.31668951116165,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,1.0,0.0,1.0,2,2,1,1,3,1125,1,0,0,1,1,95.0,47.5,2.0,1.0,0.5,7.5094277750450855,17.693649567728723,63.1578947368421,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,2.5,3.0,3.0,2,4,1,4,2,1125,1,0,0,1,0,400.0,100.0,1.3333333333333333,0.8333333333333334,1.0,0.0,0.0,30.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,2.0,1.0,1.0,1,2,1,1,2,1125,1,0,0,1,1,85.0,42.5,2.0,2.0,0.5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,1.0,1.0,1.0,1,2,0,1,1,1125,0,0,0,1,1,70.0,35.0,2.0,1.0,0.5,0.0,0.0,28.57142857142857,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
61,1.0,0.0,1.0,2,2,1,1,2,14,2,1,1,1,1,90.0,45.0,2.0,1.0,0.5,-9.158576051779932,11.415722169283514,27.77777777777778,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
62,1.0,1.0,1.0,1,2,1,2,1,6,0,0,0,1,0,80.0,40.0,2.0,1.0,1.0,2.0652173913043637,8.51380250915024,0.0,18.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0
63,1.0,1.0,2.0,1,2,1,2,2,7,2,1,1,1,1,60.0,30.0,1.0,0.5,1.0,0.8823529411764675,9.232678255207864,41.66666666666667,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
64,1.0,2.0,2.0,2,4,1,4,1,15,1,0,0,1,0,175.0,43.75,2.0,0.5,1.0,-5.690476190476201,12.164144877910546,44.57142857142857,28.57142857142857,0,1,0,0,0,0,0,0,0,0,1,0,0,0
65,2.5,3.0,4.0,2,6,1,6,4,1125,2,0,0,1,1,170.0,28.333333333333332,1.5,0.625,1.0,-16.775599128540296,5.2470770102214335,58.82352941176471,58.82352941176471,0,1,0,1,0,0,0,0,0,0,0,0,0,0
66,1.0,1.0,1.0,2,2,1,2,3,1125,1,0,0,1,1,85.0,42.5,2.0,1.0,1.0,4.916087472452957,7.9099584580056685,58.82352941176471,23.52941176470588,1,0,0,1,0,0,0,0,0,0,0,0,0,0
67,3.5,5.0,7.0,2,12,1,1,3,1125,2,0,0,1,1,450.0,38.75,1.7142857142857142,0.5,0.08333333333333333,15.35483870967742,26.95682007517662,53.76344086021505,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68,1.0,1.0,1.0,2,2,1,1,1,1125,0,0,0,1,1,175.0,87.5,2.0,1.0,0.5,0.0,0.0,28.57142857142857,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
69,1.0,1.0,1.0,1,2,1,0,1,1125,0,0,0,1,0,50.0,25.0,2.0,1.0,0.0,10.242253521126754,16.265380917034292,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70,1.0,1.0,1.0,1,2,1,1,1,1125,0,0,0,1,0,60.0,30.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
71,1.0,1.0,1.0,1,2,0,1,1,1125,0,0,0,1,1,59.0,29.5,2.0,1.0,0.5,2.4905838041431316,10.384267072171513,20.33898305084746,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72,1.0,1.0,4.0,1,4,1,2,1,1125,2,1,0,1,1,47.0,11.75,1.0,0.25,0.5,1.075782930910818,6.998994562386662,31.914893617021278,21.27659574468085,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,1.0,2.0,2.0,2,4,1,4,2,14,1,1,1,1,1,145.0,36.25,2.0,0.5,1.0,0.11755485893416573,7.271775542600956,31.03448275862069,20.689655172413794,0,1,0,1,0,0,0,0,0,0,0,0,0,0
